a,b,name,positive,id,c,d,e,f
特別区,あだちく,足立区,"79,462",13121,a,千代田区,ちよだく,131016
特別区,あらかわく,荒川区,"26,642",13118,13102,中央区,ちゅうおうく,131024
特別区,いたばしく,板橋区,"65,799",13119,13103,港区,みなとく,131032
特別区,えどがわく,江戸川区,"85,422",13123,13104,新宿区,しんじゅくく,131041
特別区,おおたく,大田区,"86,535",13111,13105,文京区,ぶんきょうく,131059
特別区,かつしかく,葛飾区,"53,608",13122,13106,台東区,たいとうく,131067
特別区,きたく,北区,"42,193",13117,13107,墨田区,すみだく,131075
特別区,こうとうく,江東区,"61,144",13108,13108,江東区,こうとうく,131083
特別区,しながわく,品川区,"51,854",13109,13109,品川区,しながわく,131091
特別区,しぶやく,渋谷区,"34,354",13113,13110,目黒区,めぐろく,131105
特別区,しんじゅくく,新宿区,"53,168",13104,13111,大田区,おおたく,131113
特別区,すぎなみく,杉並区,"63,813",13115,13112,世田谷区,せたがやく,131121
特別区,すみだく,墨田区,"32,556",13107,13113,渋谷区,しぶやく,131130
特別区,せたがやく,世田谷区,"114,136",13112,13114,中野区,なかのく,131148
特別区,たいとうく,台東区,"24,932",13106,13115,杉並区,すぎなみく,131156
特別区,ちゅうおうく,中央区,"24,248",13102,13116,豊島区,としまく,131164
特別区,ちよだく,千代田区,"8,397",13101,13117,北区,きたく,131172
特別区,としまく,豊島区,"37,761",13116,13118,荒川区,あらかわく,131181
特別区,なかのく,中野区,"44,115",13114,13119,板橋区,いたばしく,131199
特別区,ねりまく,練馬区,"81,546",13120,13120,練馬区,ねりまく,131202
特別区,ぶんきょうく,文京区,"26,017",13105,13121,足立区,あだちく,131211
特別区,みなとく,港区,"37,635",13103,13122,葛飾区,かつしかく,131229
特別区,めぐろく,目黒区,"38,378",13110,13123,江戸川区,えどがわく,131237
